YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,DJF,MAM,JJA,SON,metANN
1923,2.4,-1.0,3.1,4.7,9.4,11.7,17.2,14.5,12.6,9.8,3.3,-1.0,1.6,5.7,14.5,8.6,7.59
1924,-2.6,-2.9,-0.3,3.7,10.7,14.2,15.6,16.1,14.1,9.9,5.5,3.9,-2.2,4.7,15.3,9.8,6.92
1925,3.7,3.4,1.2,7.2,13.2,14.9,19.2,17.0,12.3,7.5,2.5,-0.4,3.7,7.2,17.0,7.4,8.83
1926,0.9,0.5,2.8,7.4,10.8,14.8,18.6,17.4,13.3,7.1,6.3,2.3,0.3,7.0,16.9,8.9,8.29
1927,2.7,1.0,5.3,5.9,8.7,12.5,18.1,17.4,13.5,9.0,2.9,-2.1,2.0,6.6,16.0,8.5,8.28
1928,0.9,2.0,1.8,6.0,10.3,12.7,15.9,15.6,12.8,9.0,6.8,1.2,0.3,6.0,14.7,9.5,7.64
1929,-2.2,-6.0,2.2,3.2,11.9,13.5,16.0,16.3,14.2,9.9,6.2,4.4,-2.3,5.8,15.3,10.1,7.20
1930,3.3,0.2,2.8,7.1,11.5,16.5,17.4,16.5,13.1,9.8,6.1,2.8,2.6,7.1,16.8,9.7,9.06
1931,0.7,-0.4,-0.6,4.6,13.3,13.8,16.5,15.9,11.3,8.1,6.0,2.4,1.0,5.8,15.4,8.5,7.67
1932,3.1,0.8,0.8,6.4,12.3,14.8,18.9,18.0,13.7,8.6,5.5,3.4,2.1,6.5,17.2,9.3,8.78
1933,0.0,0.4,3.8,6.2,11.4,16.7,18.2,17.2,14.1,9.8,4.5,0.4,1.3,7.1,17.4,9.5,8.81
1934,1.7,3.2,3.8,8.0,12.7,15.5,18.8,17.0,15.9,10.6,6.2,5.4,1.8,8.2,17.1,10.9,9.48
1935,0.3,2.0,2.9,7.2,10.3,16.3,17.6,17.1,13.7,9.4,6.0,2.2,2.6,6.8,17.0,9.7,9.02
1936,2.8,-0.9,2.5,5.3,11.6,17.2,17.8,16.8,13.1,7.4,5.4,3.6,1.4,6.5,17.3,8.6,8.43
1937,-0.3,0.8,1.1,6.8,12.7,15.3,18.0,18.9,14.3,10.5,4.2,0.5,1.4,6.9,17.4,9.7,8.83
1938,2.1,2.0,6.6,6.8,10.9,14.8,17.4,18.8,15.0,10.3,8.1,1.3,1.5,8.1,17.0,11.1,9.44
1939,1.9,3.3,2.0,6.9,11.1,16.7,17.8,19.2,14.6,6.8,5.2,0.8,2.2,6.7,17.9,8.9,8.90
1940,-4.1,-6.7,-0.3,4.2,11.5,17.5,17.3,15.4,11.6,7.3,5.6,0.3,-3.3,5.1,16.7,8.2,6.68
1941,-5.8,-2.7,0.9,4.1,9.6,16.0,19.9,15.9,12.7,8.0,2.8,2.5,-2.7,4.9,17.3,7.8,6.81
1942,-6.4,-6.3,-4.0,5.7,10.7,13.4,16.0,17.5,14.1,10.0,4.3,3.2,-3.4,4.1,15.6,9.5,6.46
1943,-0.6,3.8,4.4,8.7,12.6,15.7,17.9,16.7,14.0,10.5,4.6,2.1,2.1,8.6,16.8,9.7,9.29
1944,3.0,1.0,1.5,6.0,10.4,14.2,18.6,19.5,13.4,9.9,4.8,2.2,2.0,6.0,17.4,9.4,8.70
1945,-1.0,2.1,5.0,7.9,11.8,15.6,18.2,17.9,14.1,10.1,6.0,2.3,1.1,8.2,17.2,10.1,9.16
1946,0.2,0.7,1.5,8.2,12.3,14.1,18.8,16.6,14.0,7.4,4.9,1.0,1.1,7.3,16.5,8.8,8.42
1947,-2.4,-6.6,-2.0,6.3,13.6,17.7,18.2,19.8,15.8,8.8,5.0,2.2,-2.7,6.0,18.6,9.9,7.93
1948,1.1,0.3,4.0,8.8,12.1,16.0,17.5,17.3,14.4,8.8,5.0,3.3,1.2,8.3,16.9,9.4,8.96
1949,2.2,3.0,1.8,7.8,12.6,15.3,18.7,16.4,16.6,11.4,6.3,3.9,2.8,7.4,16.8,11.4,9.62
1950,-0.7,1.8,4.3,6.8,13.3,16.7,17.3,18.4,13.8,9.3,4.9,1.1,1.7,8.1,17.5,9.3,9.15
